1 4 9 13 19 24 29 34 42
1 3 8 13 18 23 28 33 38
2 5 10 15 20 24 30 35 39
1 4 9 14 19 24 29 34 40
0 3 8 13 18 23 28 33 38
0 3 8 13 18 23 29 34 39
2 5 10 15 20 24 30 36 42
2 5 10 14 20 25 30 35 42
1 4 9 14 19 24 29 34 39
2 5 10 15 20 25 30 36 42
2 5 9 15 19 24 30 35 42
1 4 9 14 19 24 29 34 40
1 4 9 15 19 24 29 35 41
2 5 10 15 20 24 30 35 40
2 4 9 13 19 24 29 34 40
1 4 10 14 20 24 29 35 41
0 3 8 13 18 23 28 34 38
2 4 9 13 19 24 29 34 40
1 3 8 13 18 23 28 33 38
1 4 8 13 19 24 28 34 39
1 3 8 13 18 23 28 33 41
0 3 8 13 18 23 28 33 40
2 5 10 16 21 26 31 35 41
2 5 10 15 20 25 31 35 39
2 6 11 16 21 26 32 36 40
2 5 10 15 20 25 30 36 41
2 6 10 17 21 25 31 36 41
1 6 10 15 21 25 31 36 41
1 6 11 17 21 25 31 36 42
1 5 10 15 20 25 31 35 41
1 6 11 16 21 25 31 36 40
2 7 12 16 22 27 32 37 42
1 7 12 16 22 27 32 36 42
2 7 12 16 22 27 32 37 42
2 7 12 17 22 27 32 37 42
1 4 9 13 19 24 29 34 39
2 5 11 16 21 26 32 36 42
2 4 9 13 19 24 29 34 39
2 5 10 15 20 25 31 35 41
1 3 8 13 18 23 29 33 39
2 4 9 13 19 24 29 34 39
2 5 10 15 20 25 30 35 42
0 3 8 13 18 23 28 33 38
0 3 8 13 18 23 28 33 38
0 3 8 13 18 23 28 33 38
0 3 8 13 18 23 28 33 38
1 4 9 14 19 25 31 34 39
2 4 9 14 19 24 29 34 38
0 3 8 13 18 23 28 33 38
2 5 10 16 20 25 31 35 39
0 5 10 14 19 24 29 35 39
1 3 8 13 18 23 28 33 38
1 4 9 14 19 24 29 34 40
2 4 9 14 19 24 29 34 40
1 3 8 13 19 24 29 34 38
2 4 10 15 20 24 30 35 39
1 4 9 14 19 24 29 34 39
1 4 9 15 19 25 29 34 39
0 3 8 13 18 23 28 33 38
2 4 10 14 19 24 29 34 38
1 4 9 13 19 24 29 34 38
1 4 10 14 19 25 30 34 39
2 5 10 14 20 25 30 35 40
1 3 8 13 19 24 29 33 38
1 5 10 14 19 24 29 34 39
1 4 9 14 19 24 29 34 39
2 5 10 16 20 25 30 36 41
2 6 11 17 22 26 31 37 42
2 4 9 14 19 24 29 34 40
0 3 8 13 18 23 28 33 38
1 5 10 14 20 24 30 36 42
