1 4 5 10 11 14 17 22 25 28 29 33 35 38 41 46 47
1 4 5 10 11 14 17 22 25 28 31 34 35 38 41 46 48
0 3 5 8 12 14 17 22 25 28 31 32 37 38 41 46 49
0 4 5 8 13 15 17 22 25 28 31 32 37 38 43 46 47
0 2 5 8 13 14 17 22 25 28 31 32 36 38 41 44 47
0 4 5 8 13 14 17 22 25 28 31 34 37 38 41 44 47
0 4 5 10 11 14 17 22 25 28 31 34 37 39 41 44 47
1 4 5 10 11 14 17 22 25 28 31 34 37 38 41 45 47
1 4 5 10 11 14 17 22 25 28 31 34 35 38 41 46 47
0 2 5 8 13 16 19 20 23 26 31 34 37 40 43 45 48
1 4 5 10 11 14 19 22 25 28 31 33 36 38 41 46 49
1 4 5 10 11 14 17 22 25 28 31 32 36 38 41 45 48
0 4 5 8 13 16 19 20 23 26 31 34 37 38 43 45 48
0 2 5 8 13 16 17 20 23 27 29 32 36 40 43 44 48
1 4 5 10 11 14 17 22 25 28 31 34 35 39 42 46 48
1 4 5 10 11 14 17 22 25 28 29 34 35 38 42 46 48
0 2 7 8 13 16 17 22 23 27 29 32 35 39 43 46 47
0 2 6 8 13 16 19 20 23 26 31 34 37 38 43 44 47
1 4 5 10 11 14 17 22 25 28 31 34 36 38 41 46 49
0 2 5 8 13 16 19 20 23 26 31 32 37 40 43 44 47
0 2 5 8 13 16 18 20 23 28 31 32 37 40 43 44 47
0 2 5 8 13 16 19 20 23 26 31 34 37 39 42 44 47
0 2 6 8 13 16 19 20 23 26 31 34 36 40 43 44 47
0 2 5 8 13 16 19 20 23 26 31 34 37 40 43 44 47
0 2 7 8 13 16 19 20 23 26 31 34 37 40 43 44 48
0 2 7 8 13 16 19 20 23 26 29 34 37 40 43 44 47
0 2 7 8 13 16 19 20 23 26 31 32 37 40 43 44 47
0 2 5 8 13 16 19 20 23 26 31 32 37 40 43 44 47
1 2 7 10 11 14 19 20 23 26 31 34 35 38 41 46 47
0 2 5 8 13 16 19 20 23 26 31 32 37 40 43 44 47
1 4 5 10 11 14 17 22 25 28 31 34 35 38 41 46 49
0 2 5 8 13 16 19 20 23 26 31 32 37 40 43 44 48
0 2 5 8 13 16 19 20 23 26 29 34 37 38 43 44 47
1 4 5 10 11 14 17 22 25 28 31 34 35 38 41 46 47
